"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","datetime"
"1",2007-02-01,"00:00:00",0.326,0.128,243.15,1.4,0,0,0,2007-02-01 00:00:00
"2",2007-02-01,"00:01:00",0.326,0.13,243.32,1.4,0,0,0,2007-02-01 00:01:00
"3",2007-02-01,"00:02:00",0.324,0.132,243.51,1.4,0,0,0,2007-02-01 00:02:00
"4",2007-02-01,"00:03:00",0.324,0.134,243.9,1.4,0,0,0,2007-02-01 00:03:00
"5",2007-02-01,"00:04:00",0.322,0.13,243.16,1.4,0,0,0,2007-02-01 00:04:00
"6",2007-02-01,"00:05:00",0.32,0.126,242.29,1.4,0,0,0,2007-02-01 00:05:00
"7",2007-02-01,"00:06:00",0.32,0.126,242.46,1.4,0,0,0,2007-02-01 00:06:00
"8",2007-02-01,"00:07:00",0.32,0.126,242.63,1.4,0,0,0,2007-02-01 00:07:00
"9",2007-02-01,"00:08:00",0.32,0.128,242.7,1.4,0,0,0,2007-02-01 00:08:00
"10",2007-02-01,"00:09:00",0.236,0,242.89,1,0,0,0,2007-02-01 00:09:00
"11",2007-02-01,"00:10:00",0.226,0,243,1,0,0,0,2007-02-01 00:10:00
"12",2007-02-01,"00:11:00",0.224,0,242.5,1,0,0,0,2007-02-01 00:11:00
"13",2007-02-01,"00:12:00",0.224,0,242.18,1,0,0,0,2007-02-01 00:12:00
"14",2007-02-01,"00:13:00",0.224,0,242.15,1,0,0,0,2007-02-01 00:13:00
"15",2007-02-01,"00:14:00",0.224,0,242.73,1,0,0,0,2007-02-01 00:14:00
"16",2007-02-01,"00:15:00",0.26,0,242.85,1.2,0,0,0,2007-02-01 00:15:00
"17",2007-02-01,"00:16:00",0.304,0.096,242.89,1.2,0,0,0,2007-02-01 00:16:00
"18",2007-02-01,"00:17:00",0.302,0.096,242.87,1.2,0,0,0,2007-02-01 00:17:00
"19",2007-02-01,"00:18:00",0.302,0.094,242.19,1.2,0,0,0,2007-02-01 00:18:00
"20",2007-02-01,"00:19:00",0.3,0.094,242.23,1.2,0,0,0,2007-02-01 00:19:00
"21",2007-02-01,"00:20:00",0.3,0.094,242.16,1.2,0,0,0,2007-02-01 00:20:00
"22",2007-02-01,"00:21:00",0.298,0.094,242.29,1.2,0,0,0,2007-02-01 00:21:00
"23",2007-02-01,"00:22:00",0.298,0.094,242.47,1.2,0,0,0,2007-02-01 00:22:00
"24",2007-02-01,"00:23:00",0.296,0.094,242.32,1.2,0,0,0,2007-02-01 00:23:00
"25",2007-02-01,"00:24:00",0.296,0.096,242.98,1.2,0,0,0,2007-02-01 00:24:00
"26",2007-02-01,"00:25:00",0.298,0.1,243.65,1.2,0,0,0,2007-02-01 00:25:00
"27",2007-02-01,"00:26:00",0.228,0,243.55,1,0,0,0,2007-02-01 00:26:00
"28",2007-02-01,"00:27:00",0.226,0,243.11,1,0,0,0,2007-02-01 00:27:00
"29",2007-02-01,"00:28:00",0.226,0,243.09,1,0,0,0,2007-02-01 00:28:00
"30",2007-02-01,"00:29:00",0.226,0,243.05,1,0,0,0,2007-02-01 00:29:00
"31",2007-02-01,"00:30:00",0.226,0,243.22,1,0,0,0,2007-02-01 00:30:00
"32",2007-02-01,"00:31:00",0.226,0,243.37,1,0,0,0,2007-02-01 00:31:00
"33",2007-02-01,"00:32:00",0.226,0,243.14,1,0,0,0,2007-02-01 00:32:00
"34",2007-02-01,"00:33:00",0.226,0,243.12,1,0,0,0,2007-02-01 00:33:00
"35",2007-02-01,"00:34:00",0.322,0.094,242.74,1.4,0,0,0,2007-02-01 00:34:00
"36",2007-02-01,"00:35:00",0.336,0.126,242.59,1.4,0,0,0,2007-02-01 00:35:00
"37",2007-02-01,"00:36:00",0.332,0.126,242.91,1.4,0,0,0,2007-02-01 00:36:00
"38",2007-02-01,"00:37:00",0.332,0.13,243.51,1.4,0,0,0,2007-02-01 00:37:00
"39",2007-02-01,"00:38:00",0.33,0.13,243.65,1.4,0,0,0,2007-02-01 00:38:00
"40",2007-02-01,"00:39:00",0.328,0.128,243.37,1.4,0,0,0,2007-02-01 00:39:00
"41",2007-02-01,"00:40:00",0.328,0.13,243.79,1.4,0,0,0,2007-02-01 00:40:00
"42",2007-02-01,"00:41:00",0.326,0.128,243.23,1.4,0,0,0,2007-02-01 00:41:00
"43",2007-02-01,"00:42:00",0.324,0.126,242.98,1.4,0,0,0,2007-02-01 00:42:00
"44",2007-02-01,"00:43:00",0.322,0.126,242.95,1.4,0,0,0,2007-02-01 00:43:00
"45",2007-02-01,"00:44:00",0.322,0.124,242.6,1.4,0,0,0,2007-02-01 00:44:00
"46",2007-02-01,"00:45:00",0.322,0.128,243.33,1.4,0,0,0,2007-02-01 00:45:00
"47",2007-02-01,"00:46:00",0.318,0.118,241.32,1.4,0,0,0,2007-02-01 00:46:00
"48",2007-02-01,"00:47:00",0.316,0.116,240.93,1.4,0,0,0,2007-02-01 00:47:00
"49",2007-02-01,"00:48:00",0.316,0.116,240.93,1.4,0,0,0,2007-02-01 00:48:00
"50",2007-02-01,"00:49:00",0.274,0.058,240.36,1.2,0,0,0,2007-02-01 00:49:00
"51",2007-02-01,"00:50:00",0.222,0,240.93,1,0,0,0,2007-02-01 00:50:00
"52",2007-02-01,"00:51:00",0.222,0,240.83,1,0,0,0,2007-02-01 00:51:00
"53",2007-02-01,"00:52:00",0.222,0,240.52,1,0,0,0,2007-02-01 00:52:00
"54",2007-02-01,"00:53:00",0.224,0,241.45,1,0,0,0,2007-02-01 00:53:00
"55",2007-02-01,"00:54:00",0.224,0,241.59,1,0,0,0,2007-02-01 00:54:00
"56",2007-02-01,"00:55:00",0.226,0,242.55,1,0,0,0,2007-02-01 00:55:00
"57",2007-02-01,"00:56:00",0.226,0,242.88,1,0,0,0,2007-02-01 00:56:00
"58",2007-02-01,"00:57:00",0.226,0,242.63,1,0,0,0,2007-02-01 00:57:00
"59",2007-02-01,"00:58:00",0.224,0,242.2,1,0,0,0,2007-02-01 00:58:00
"60",2007-02-01,"00:59:00",0.224,0,241.84,1,0,0,0,2007-02-01 00:59:00
"61",2007-02-01,"01:00:00",0.222,0,240.89,1,0,0,0,2007-02-01 01:00:00
"62",2007-02-01,"01:01:00",0.222,0,240.86,1,0,0,0,2007-02-01 01:01:00
"63",2007-02-01,"01:02:00",0.26,0,240.64,1.2,0,0,0,2007-02-01 01:02:00
"64",2007-02-01,"01:03:00",0.298,0.088,240.72,1.2,0,0,0,2007-02-01 01:03:00
"65",2007-02-01,"01:04:00",0.302,0.094,242.18,1.2,0,0,0,2007-02-01 01:04:00
"66",2007-02-01,"01:05:00",0.302,0.096,242.66,1.2,0,0,0,2007-02-01 01:05:00
"67",2007-02-01,"01:06:00",0.302,0.096,242.77,1.2,0,0,0,2007-02-01 01:06:00
"68",2007-02-01,"01:07:00",0.3,0.096,242.6,1.2,0,0,0,2007-02-01 01:07:00
"69",2007-02-01,"01:08:00",0.298,0.094,242.38,1.2,0,0,0,2007-02-01 01:08:00
"70",2007-02-01,"01:09:00",0.298,0.094,242.21,1.2,0,0,0,2007-02-01 01:09:00
"71",2007-02-01,"01:10:00",0.296,0.096,242.61,1.2,0,0,0,2007-02-01 01:10:00
"72",2007-02-01,"01:11:00",0.296,0.094,242.24,1.2,0,0,0,2007-02-01 01:11:00
"73",2007-02-01,"01:12:00",0.258,0,242.66,1,0,0,0,2007-02-01 01:12:00
"74",2007-02-01,"01:13:00",0.226,0,242.99,1,0,0,0,2007-02-01 01:13:00
"75",2007-02-01,"01:14:00",0.228,0,243.53,1,0,0,0,2007-02-01 01:14:00
"76",2007-02-01,"01:15:00",0.316,0.088,243.12,1.4,0,0,0,2007-02-01 01:15:00
"77",2007-02-01,"01:16:00",0.434,0.252,242.83,2.2,0,0,0,2007-02-01 01:16:00
"78",2007-02-01,"01:17:00",0.418,0.254,243.08,2,0,2,0,2007-02-01 01:17:00
